Domain,Problem,Experiment Name,Total Landmarks,Individual LMs,Disjunctions,Overall,Unary Methods,Unary Action,Overall Action,Overall Method
Factories-simple,pfile07.hddl,lmc-GZD,34,6,28,426,1,5,274,152
Factories-simple,pfile07.hddl,lmc-BDpGZD,34,6,28,436,1,5,277,159
Factories-simple,pfile07.hddl,lmc-VDM,35,7,28,393,1,6,267,126
Factories-simple,pfile20.hddl,lmc,54,7,47,1906,1,6,1379,527
Factories-simple,pfile20.hddl,lmc-BD,51,4,47,1957,1,3,1363,594
Factories-simple,pfile20.hddl,lmc-GZD,47,3,44,2926,1,2,1283,1643
Factories-simple,pfile20.hddl,lmc-BDpGZD,48,3,45,2723,1,2,1302,1421
Factories-simple,pfile20.hddl,lmc-VDM,59,7,52,1770,1,6,1356,414
Factories-simple,pfile09.hddl,lmc,32,2,30,439,1,1,323,116
Factories-simple,pfile09.hddl,lmc-BD,33,4,29,487,1,3,358,129
Factories-simple,pfile09.hddl,lmc-GZD,36,3,33,737,1,2,373,364
Factories-simple,pfile09.hddl,lmc-BDpGZD,33,3,30,584,1,2,340,244
Factories-simple,pfile09.hddl,lmc-VDM,37,4,33,500,1,3,353,147
Factories-simple,pfile08.hddl,lmc,37,1,36,466,1,0,388,78
Factories-simple,pfile08.hddl,lmc-BD,36,5,31,502,1,4,394,108
Factories-simple,pfile08.hddl,lmc-GZD,35,1,34,626,1,0,373,253
Factories-simple,pfile08.hddl,lmc-BDpGZD,35,1,34,584,1,0,376,208
Factories-simple,pfile08.hddl,lmc-VDM,40,5,35,475,1,4,400,75
Factories-simple,pfile17.hddl,lmc,73,5,68,2340,1,4,1937,403
Factories-simple,pfile17.hddl,lmc-BD,75,8,67,2395,1,7,1963,432
Factories-simple,pfile17.hddl,lmc-GZD,75,2,73,3332,1,1,1906,1426
Factories-simple,pfile17.hddl,lmc-BDpGZD,73,1,72,3366,1,0,1936,1430
Factories-simple,pfile17.hddl,lmc-VDM,96,13,83,2442,1,12,1986,456
Factories-simple,pfile01.hddl,lmc,10,2,8,21,1,1,16,5
Factories-simple,pfile01.hddl,lmc-BD,10,2,8,21,1,1,16,5
Factories-simple,pfile01.hddl,lmc-GZD,10,1,9,25,1,0,13,12
Factories-simple,pfile01.hddl,lmc-BDpGZD,10,1,9,25,1,0,13,12
Factories-simple,pfile01.hddl,lmc-VDM,10,2,8,21,1,1,16,5
Factories-simple,pfile18.hddl,lmc,79,4,75,3663,1,3,2472,1191
Factories-simple,pfile18.hddl,lmc-BD,82,4,78,3555,1,3,2539,1016
Factories-simple,pfile18.hddl,lmc-GZD,77,2,75,4553,1,1,2621,1932
Factories-simple,pfile18.hddl,lmc-BDpGZD,75,3,72,4659,1,2,2545,2114
Factories-simple,pfile18.hddl,lmc-VDM,122,11,111,4126,1,10,2615,1511
Freecell-Learned-ECAI-16,probfreecell-06-4.hddl,lmc,13,1,12,5418,1,0,4942,476
Freecell-Learned-ECAI-16,probfreecell-06-4.hddl,lmc-BD,13,1,12,304,1,0,229,75
Freecell-Learned-ECAI-16,probfreecell-06-4.hddl,lmc-GZD,12,1,11,4875,1,0,4524,351
Freecell-Learned-ECAI-16,probfreecell-06-4.hddl,lmc-BDpGZD,13,1,12,258,1,0,229,29
Freecell-Learned-ECAI-16,probfreecell-06-4.hddl,lmc-VDM,13,2,11,4777,1,1,4676,101
Freecell-Learned-ECAI-16,probfreecell-09-1.hddl,lmc,13,1,12,8206,1,0,8134,72
Freecell-Learned-ECAI-16,probfreecell-09-1.hddl,lmc-BD,13,1,12,295,1,0,231,64
Freecell-Learned-ECAI-16,probfreecell-09-1.hddl,lmc-GZD,13,1,12,9130,1,0,8979,151
Freecell-Learned-ECAI-16,probfreecell-09-1.hddl,lmc-BDpGZD,13,1,12,261,1,0,231,30
Freecell-Learned-ECAI-16,probfreecell-09-1.hddl,lmc-VDM,13,1,12,7871,1,0,7793,78
Freecell-Learned-ECAI-16,probfreecell-07-4.hddl,lmc,13,1,12,7322,1,0,7208,114
Freecell-Learned-ECAI-16,probfreecell-07-4.hddl,lmc-BD,13,1,12,301,1,0,231,70
Freecell-Learned-ECAI-16,probfreecell-07-4.hddl,lmc-GZD,13,1,12,6703,1,0,6280,423
Freecell-Learned-ECAI-16,probfreecell-07-4.hddl,lmc-BDpGZD,13,1,12,263,1,0,231,32
Freecell-Learned-ECAI-16,probfreecell-07-4.hddl,lmc-VDM,13,1,12,6829,1,0,6551,278
Freecell-Learned-ECAI-16,probfreecell-02-3.hddl,lmc,11,2,9,1875,1,1,1321,554
Freecell-Learned-ECAI-16,probfreecell-02-3.hddl,lmc-BD,13,1,12,1924,1,0,1190,734
Freecell-Learned-ECAI-16,probfreecell-02-3.hddl,lmc-GZD,10,2,8,856,1,1,561,295
Freecell-Learned-ECAI-16,probfreecell-02-3.hddl,lmc-BDpGZD,13,1,12,2133,1,0,587,1546
Freecell-Learned-ECAI-16,probfreecell-02-3.hddl,lmc-VDM,11,1,10,2018,1,0,1463,555
Freecell-Learned-ECAI-16,probfreecell-04-5.hddl,lmc,13,1,12,903,1,0,827,76
Freecell-Learned-ECAI-16,probfreecell-04-5.hddl,lmc-BD,13,1,12,543,1,0,467,76
Freecell-Learned-ECAI-16,probfreecell-04-5.hddl,lmc-GZD,12,1,11,4903,1,0,4344,559
Freecell-Learned-ECAI-16,probfreecell-04-5.hddl,lmc-BDpGZD,13,1,12,517,1,0,467,50
Freecell-Learned-ECAI-16,probfreecell-04-5.hddl,lmc-VDM,13,1,12,904,1,0,829,75
Freecell-Learned-ECAI-16,probfreecell-07-5.hddl,lmc,13,1,12,7769,1,0,7684,85
Freecell-Learned-ECAI-16,probfreecell-07-5.hddl,lmc-BD,13,1,12,307,1,0,232,75
Freecell-Learned-ECAI-16,probfreecell-07-5.hddl,lmc-GZD,13,1,12,8016,1,0,7632,384
Freecell-Learned-ECAI-16,probfreecell-07-5.hddl,lmc-BDpGZD,13,1,12,261,1,0,232,29
Freecell-Learned-ECAI-16,probfreecell-07-5.hddl,lmc-VDM,13,1,12,7107,1,0,6877,230
Freecell-Learned-ECAI-16,probfreecell-02-1.hddl,lmc,11,1,10,821,1,0,748,73
Freecell-Learned-ECAI-16,probfreecell-02-1.hddl,lmc-BD,13,1,12,1636,1,0,908,728
Freecell-Learned-ECAI-16,probfreecell-02-1.hddl,lmc-GZD,11,1,10,1052,1,0,836,216
Freecell-Learned-ECAI-16,probfreecell-02-1.hddl,lmc-BDpGZD,12,1,11,863,1,0,417,446
Freecell-Learned-ECAI-16,probfreecell-02-1.hddl,lmc-VDM,12,1,11,1585,1,0,994,591
Freecell-Learned-ECAI-16,probfreecell-06-1.hddl,lmc,13,1,12,5427,1,0,5242,185
Freecell-Learned-ECAI-16,probfreecell-06-1.hddl,lmc-BD,13,1,12,308,1,0,229,79
Freecell-Learned-ECAI-16,probfreecell-06-1.hddl,lmc-GZD,13,1,12,5360,1,0,4886,474
Freecell-Learned-ECAI-16,probfreecell-06-1.hddl,lmc-BDpGZD,13,1,12,263,1,0,229,34
Freecell-Learned-ECAI-16,probfreecell-06-1.hddl,lmc-VDM,13,1,12,5577,1,0,5253,324
Freecell-Learned-ECAI-16,probfreecell-12-4.hddl,lmc,13,1,12,7968,1,0,7933,35
Freecell-Learned-ECAI-16,probfreecell-12-4.hddl,lmc-BD,13,1,12,298,1,0,230,68
Freecell-Learned-ECAI-16,probfreecell-12-4.hddl,lmc-GZD,13,1,12,7779,1,0,7697,82
Freecell-Learned-ECAI-16,probfreecell-12-4.hddl,lmc-BDpGZD,13,1,12,260,1,0,230,30
Freecell-Learned-ECAI-16,probfreecell-12-4.hddl,lmc-VDM,13,1,12,5797,1,0,5769,28
Freecell-Learned-ECAI-16,probfreecell-03-4.hddl,lmc,12,1,11,1542,1,0,1225,317
Freecell-Learned-ECAI-16,probfreecell-03-4.hddl,lmc-BD,13,1,12,864,1,0,404,460
Freecell-Learned-ECAI-16,probfreecell-03-4.hddl,lmc-GZD,10,1,9,640,1,0,537,103
Freecell-Learned-ECAI-16,probfreecell-03-4.hddl,lmc-BDpGZD,13,1,12,1108,1,0,630,478
Freecell-Learned-ECAI-16,probfreecell-03-4.hddl,lmc-VDM,12,1,11,1363,1,0,1203,160
Freecell-Learned-ECAI-16,probfreecell-09-3.hddl,lmc,13,1,12,5364,1,0,5316,48
Freecell-Learned-ECAI-16,probfreecell-09-3.hddl,lmc-BD,13,1,12,328,1,0,229,99
Freecell-Learned-ECAI-16,probfreecell-09-3.hddl,lmc-GZD,13,1,12,5073,1,0,5039,34
Freecell-Learned-ECAI-16,probfreecell-09-3.hddl,lmc-BDpGZD,13,1,12,260,1,0,229,31
Freecell-Learned-ECAI-16,probfreecell-09-3.hddl,lmc-VDM,13,1,12,5601,1,0,5536,65
Freecell-Learned-ECAI-16,probfreecell-09-5.hddl,lmc,13,1,12,3769,1,0,3713,56
Freecell-Learned-ECAI-16,probfreecell-09-5.hddl,lmc-BD,13,1,12,273,1,0,230,43
Freecell-Learned-ECAI-16,probfreecell-09-5.hddl,lmc-GZD,13,1,12,7512,1,0,7454,58
Freecell-Learned-ECAI-16,probfreecell-09-5.hddl,lmc-BDpGZD,13,1,12,260,1,0,230,30
Freecell-Learned-ECAI-16,probfreecell-09-5.hddl,lmc-VDM,13,1,12,3725,1,0,3677,48
Freecell-Learned-ECAI-16,probfreecell-12-1.hddl,lmc,13,1,12,10640,1,0,10599,41
Freecell-Learned-ECAI-16,probfreecell-12-1.hddl,lmc-BD,13,1,12,298,1,0,230,68
Freecell-Learned-ECAI-16,probfreecell-12-1.hddl,lmc-GZD,13,1,12,9892,1,0,9828,64
Freecell-Learned-ECAI-16,probfreecell-12-1.hddl,lmc-BDpGZD,13,1,12,260,1,0,230,30
Freecell-Learned-ECAI-16,probfreecell-12-1.hddl,lmc-VDM,13,1,12,10902,1,0,10827,75
Freecell-Learned-ECAI-16,probfreecell-06-5.hddl,lmc,13,1,12,5777,1,0,5572,205
Freecell-Learned-ECAI-16,probfreecell-06-5.hddl,lmc-BD,13,1,12,311,1,0,232,79
Freecell-Learned-ECAI-16,probfreecell-06-5.hddl,lmc-GZD,12,1,11,4502,1,0,3927,575
Freecell-Learned-ECAI-16,probfreecell-06-5.hddl,lmc-BDpGZD,13,1,12,265,1,0,232,33
Freecell-Learned-ECAI-16,probfreecell-06-5.hddl,lmc-VDM,13,1,12,6639,1,0,6262,377
Freecell-Learned-ECAI-16,probfreecell-02-2.hddl,lmc,11,1,10,1814,1,0,1234,580
Freecell-Learned-ECAI-16,probfreecell-02-2.hddl,lmc-BD,13,1,12,1669,1,0,1313,356
Freecell-Learned-ECAI-16,probfreecell-02-2.hddl,lmc-GZD,10,1,9,979,1,0,670,309
Freecell-Learned-ECAI-16,probfreecell-02-2.hddl,lmc-BDpGZD,13,1,12,2393,1,0,657,1736
Freecell-Learned-ECAI-16,probfreecell-02-2.hddl,lmc-VDM,11,2,9,1870,1,1,1246,624
Freecell-Learned-ECAI-16,probfreecell-05-1.hddl,lmc,13,1,12,3074,1,0,3018,56
Freecell-Learned-ECAI-16,probfreecell-05-1.hddl,lmc-BD,13,1,12,290,1,0,228,62
Freecell-Learned-ECAI-16,probfreecell-05-1.hddl,lmc-GZD,12,2,10,5464,1,1,5070,394
Freecell-Learned-ECAI-16,probfreecell-05-1.hddl,lmc-BDpGZD,13,1,12,258,1,0,228,30
Freecell-Learned-ECAI-16,probfreecell-05-1.hddl,lmc-VDM,13,1,12,3140,1,0,3079,61
Freecell-Learned-ECAI-16,probfreecell-03-2.hddl,lmc,13,1,12,979,1,0,820,159
Freecell-Learned-ECAI-16,probfreecell-03-2.hddl,lmc-BD,13,1,12,843,1,0,558,285
Freecell-Learned-ECAI-16,probfreecell-03-2.hddl,lmc-GZD,12,2,10,2595,1,1,2058,537
Freecell-Learned-ECAI-16,probfreecell-03-2.hddl,lmc-BDpGZD,13,1,12,488,1,0,405,83
Freecell-Learned-ECAI-16,probfreecell-03-2.hddl,lmc-VDM,13,1,12,999,1,0,820,179
Freecell-Learned-ECAI-16,probfreecell-06-2.hddl,lmc,12,2,10,5383,1,1,5058,325
Freecell-Learned-ECAI-16,probfreecell-06-2.hddl,lmc-BD,13,1,12,325,1,0,231,94
Freecell-Learned-ECAI-16,probfreecell-06-2.hddl,lmc-GZD,13,1,12,7073,1,0,6807,266
Freecell-Learned-ECAI-16,probfreecell-06-2.hddl,lmc-BDpGZD,13,1,12,259,1,0,231,28
Freecell-Learned-ECAI-16,probfreecell-06-2.hddl,lmc-VDM,12,1,11,5212,1,0,4865,347
Freecell-Learned-ECAI-16,probfreecell-04-3.hddl,lmc,12,1,11,3540,1,0,2960,580
Freecell-Learned-ECAI-16,probfreecell-04-3.hddl,lmc-BD,13,1,12,503,1,0,466,37
Freecell-Learned-ECAI-16,probfreecell-04-3.hddl,lmc-GZD,11,1,10,3002,1,0,2549,453
Freecell-Learned-ECAI-16,probfreecell-04-3.hddl,lmc-BDpGZD,13,1,12,500,1,0,466,34
Freecell-Learned-ECAI-16,probfreecell-04-3.hddl,lmc-VDM,12,2,10,3851,1,1,3184,667
Freecell-Learned-ECAI-16,probfreecell-09-2.hddl,lmc,13,1,12,270,1,0,229,41
Freecell-Learned-ECAI-16,probfreecell-09-2.hddl,lmc-BD,13,1,12,277,1,0,229,48
Freecell-Learned-ECAI-16,probfreecell-09-2.hddl,lmc-GZD,13,1,12,255,1,0,229,26
Freecell-Learned-ECAI-16,probfreecell-09-2.hddl,lmc-BDpGZD,13,1,12,255,1,0,229,26
Freecell-Learned-ECAI-16,probfreecell-09-2.hddl,lmc-VDM,13,1,12,270,1,0,229,41
Freecell-Learned-ECAI-16,probfreecell-05-4.hddl,lmc,13,1,12,4372,1,0,3784,588
Freecell-Learned-ECAI-16,probfreecell-05-4.hddl,lmc-BD,13,1,12,279,1,0,229,50
Freecell-Learned-ECAI-16,probfreecell-05-4.hddl,lmc-GZD,12,1,11,4945,1,0,4822,123
Freecell-Learned-ECAI-16,probfreecell-05-4.hddl,lmc-BDpGZD,13,1,12,574,1,0,532,42
Freecell-Learned-ECAI-16,probfreecell-05-4.hddl,lmc-VDM,13,1,12,5384,1,0,4527,857
Freecell-Learned-ECAI-16,probfreecell-12-5.hddl,lmc,13,1,12,5617,1,0,5579,38
Freecell-Learned-ECAI-16,probfreecell-12-5.hddl,lmc-BD,13,1,12,302,1,0,231,71
Freecell-Learned-ECAI-16,probfreecell-12-5.hddl,lmc-GZD,13,1,12,264,1,0,231,33
Freecell-Learned-ECAI-16,probfreecell-12-5.hddl,lmc-BDpGZD,13,1,12,264,1,0,231,33
Freecell-Learned-ECAI-16,probfreecell-12-5.hddl,lmc-VDM,13,1,12,5027,1,0,4961,66
Freecell-Learned-ECAI-16,probfreecell-04-1.hddl,lmc,13,1,12,3920,1,0,3316,604
Freecell-Learned-ECAI-16,probfreecell-04-1.hddl,lmc-BD,13,1,12,541,1,0,470,71
Freecell-Learned-ECAI-16,probfreecell-04-1.hddl,lmc-GZD,12,1,11,3655,1,0,3094,561
Freecell-Learned-ECAI-16,probfreecell-04-1.hddl,lmc-BDpGZD,13,1,12,498,1,0,470,28
Freecell-Learned-ECAI-16,probfreecell-04-1.hddl,lmc-VDM,13,1,12,3625,1,0,2960,665
Freecell-Learned-ECAI-16,probfreecell-11-3.hddl,lmc,13,1,12,9585,1,0,9454,131
Freecell-Learned-ECAI-16,probfreecell-11-3.hddl,lmc-BD,13,1,12,300,1,0,231,69
Freecell-Learned-ECAI-16,probfreecell-11-3.hddl,lmc-GZD,13,1,12,10423,1,0,10347,76
Freecell-Learned-ECAI-16,probfreecell-11-3.hddl,lmc-BDpGZD,13,1,12,262,1,0,231,31
Freecell-Learned-ECAI-16,probfreecell-11-3.hddl,lmc-VDM,13,1,12,9562,1,0,9467,95
Freecell-Learned-ECAI-16,probfreecell-02-5.hddl,lmc,10,2,8,1840,1,1,1760,80
Freecell-Learned-ECAI-16,probfreecell-02-5.hddl,lmc-BD,12,1,11,1181,1,0,612,569
Freecell-Learned-ECAI-16,probfreecell-02-5.hddl,lmc-GZD,10,1,9,514,1,0,413,101
Freecell-Learned-ECAI-16,probfreecell-02-5.hddl,lmc-BDpGZD,13,1,12,1614,1,0,741,873
Freecell-Learned-ECAI-16,probfreecell-02-5.hddl,lmc-VDM,11,2,9,1739,1,1,1198,541
Freecell-Learned-ECAI-16,probfreecell-13-5.hddl,lmc,13,1,12,4551,1,0,4511,40
Freecell-Learned-ECAI-16,probfreecell-13-5.hddl,lmc-BD,13,1,12,320,1,0,231,89
Freecell-Learned-ECAI-16,probfreecell-13-5.hddl,lmc-GZD,13,1,12,7920,1,0,7882,38
Freecell-Learned-ECAI-16,probfreecell-13-5.hddl,lmc-BDpGZD,13,1,12,263,1,0,231,32
Freecell-Learned-ECAI-16,probfreecell-13-5.hddl,lmc-VDM,13,1,12,5387,1,0,5347,40
Freecell-Learned-ECAI-16,probfreecell-10-1.hddl,lmc,13,1,12,9176,1,0,9102,74
Freecell-Learned-ECAI-16,probfreecell-10-1.hddl,lmc-BD,13,1,12,314,1,0,231,83
Freecell-Learned-ECAI-16,probfreecell-10-1.hddl,lmc-GZD,13,1,12,9944,1,0,9884,60
Freecell-Learned-ECAI-16,probfreecell-10-1.hddl,lmc-BDpGZD,13,1,12,260,1,0,231,29
Freecell-Learned-ECAI-16,probfreecell-10-1.hddl,lmc-VDM,13,1,12,10141,1,0,10048,93
Freecell-Learned-ECAI-16,probfreecell-11-1.hddl,lmc,13,1,12,11796,1,0,11740,56
Freecell-Learned-ECAI-16,probfreecell-11-1.hddl,lmc-BD,13,1,12,279,1,0,230,49
Freecell-Learned-ECAI-16,probfreecell-11-1.hddl,lmc-GZD,13,1,12,1009,1,0,985,24
Freecell-Learned-ECAI-16,probfreecell-11-1.hddl,lmc-BDpGZD,13,1,12,255,1,0,230,25
Freecell-Learned-ECAI-16,probfreecell-11-1.hddl,lmc-VDM,13,1,12,9693,1,0,9638,55
Freecell-Learned-ECAI-16,probfreecell-02-4.hddl,lmc,12,1,11,1929,1,0,1158,771
Freecell-Learned-ECAI-16,probfreecell-02-4.hddl,lmc-BD,13,1,12,1834,1,0,520,1314
Freecell-Learned-ECAI-16,probfreecell-02-4.hddl,lmc-GZD,11,2,9,2474,1,1,1787,687
Freecell-Learned-ECAI-16,probfreecell-02-4.hddl,lmc-BDpGZD,13,1,12,2064,1,0,661,1403
Freecell-Learned-ECAI-16,probfreecell-02-4.hddl,lmc-VDM,12,1,11,1833,1,0,1054,779
Freecell-Learned-ECAI-16,probfreecell-08-1.hddl,lmc,13,1,12,7913,1,0,7819,94
Freecell-Learned-ECAI-16,probfreecell-08-1.hddl,lmc-BD,13,1,12,268,1,0,230,38
Freecell-Learned-ECAI-16,probfreecell-08-1.hddl,lmc-GZD,13,1,12,263,1,0,230,33
Freecell-Learned-ECAI-16,probfreecell-08-1.hddl,lmc-BDpGZD,13,1,12,263,1,0,230,33
Freecell-Learned-ECAI-16,probfreecell-08-1.hddl,lmc-VDM,13,1,12,7937,1,0,7887,50
Freecell-Learned-ECAI-16,probfreecell-04-2.hddl,lmc,12,1,11,3581,1,0,3178,403
Freecell-Learned-ECAI-16,probfreecell-04-2.hddl,lmc-BD,13,1,12,994,1,0,468,526
Freecell-Learned-ECAI-16,probfreecell-04-2.hddl,lmc-GZD,13,1,12,2838,1,0,2185,653
Freecell-Learned-ECAI-16,probfreecell-04-2.hddl,lmc-BDpGZD,13,1,12,2220,1,0,1864,356
Freecell-Learned-ECAI-16,probfreecell-04-2.hddl,lmc-VDM,12,1,11,3785,1,0,3274,511
