Domain,Experiment Name,Count,Sum Total Landmarks,Sum Individual LMs,Sum Disjunctions,Sum Overall
Hiking,,20,0,0,0,0
Hiking,lmc,26,1016.0,29.0,987.0,3344968.0
Hiking,lmc-BD,26,1126.0,26.0,1100.0,3778218.0
Hiking,lmc-GZD,26,1016.0,28.0,988.0,3026565.0
Hiking,lmc-BDpGZD,26,1122.0,26.0,1096.0,3777986.0
Hiking,lmc-VDM,26,1048.0,26.0,1022.0,3263413.0
Logistics-Learned-ECAI-16,lmc,80,5147.0,124.0,5023.0,27787.0
Logistics-Learned-ECAI-16,lmc-BD,80,5147.0,124.0,5023.0,29986.0
Logistics-Learned-ECAI-16,lmc-GZD,80,5147.0,130.0,5017.0,22875.0
Logistics-Learned-ECAI-16,lmc-BDpGZD,80,5147.0,130.0,5017.0,22875.0
Logistics-Learned-ECAI-16,lmc-VDM,80,5147.0,126.0,5021.0,30080.0
Minecraft-Player,,80,0,0,0,0
Minecraft-Player,lmc,4,572.0,4.0,568.0,11624.0
Minecraft-Player,lmc-BD,4,572.0,4.0,568.0,11704.0
Minecraft-Player,lmc-GZD,4,572.0,4.0,568.0,11750.0
Minecraft-Player,lmc-BDpGZD,4,572.0,4.0,568.0,11412.0
Minecraft-Player,lmc-VDM,4,572.0,4.0,568.0,12027.0
Minecraft-Regular,lmc,42,38308.0,42.0,38266.0,89398.0
Minecraft-Regular,lmc-BD,42,38308.0,42.0,38266.0,89398.0
Minecraft-Regular,lmc-GZD,42,38308.0,42.0,38266.0,89398.0
Minecraft-Regular,lmc-BDpGZD,42,38308.0,42.0,38266.0,89398.0
Minecraft-Regular,lmc-VDM,42,38308.0,42.0,38266.0,89398.0
Minecraft-Regular,,85,0,0,0,0
Monroe-Fully-Observable,lmc,20,312.0,78.0,234.0,624437.0
Monroe-Fully-Observable,lmc-BD,20,316.0,75.0,241.0,588113.0
Monroe-Fully-Observable,lmc-GZD,20,312.0,82.0,230.0,665845.0
Monroe-Fully-Observable,lmc-BDpGZD,20,315.0,85.0,230.0,635912.0
Monroe-Fully-Observable,lmc-VDM,20,319.0,72.0,247.0,587695.0
Monroe-Partially-Observable,lmc,20,301.0,111.0,190.0,636737.0
Monroe-Partially-Observable,lmc-BD,20,307.0,112.0,195.0,632835.0
Monroe-Partially-Observable,lmc-GZD,20,303.0,111.0,192.0,697955.0
Monroe-Partially-Observable,lmc-BDpGZD,20,307.0,112.0,195.0,692037.0
Monroe-Partially-Observable,lmc-VDM,20,286.0,110.0,176.0,581295.0
Multiarm-Blocksworld,lmc,74,7352.0,162.0,7190.0,159659.0
Multiarm-Blocksworld,lmc-BD,74,7431.0,158.0,7273.0,166074.0
Multiarm-Blocksworld,lmc-GZD,74,7614.0,796.0,6818.0,104030.0
Multiarm-Blocksworld,lmc-BDpGZD,74,7604.0,717.0,6887.0,104415.0
Multiarm-Blocksworld,lmc-VDM,74,9292.0,878.0,8414.0,127941.0
Robot,lmc,20,1553.0,1428.0,125.0,1765.0
Robot,lmc-BD,20,1556.0,1433.0,123.0,1761.0
Robot,lmc-GZD,20,1553.0,1427.0,126.0,1764.0
Robot,lmc-BDpGZD,20,1557.0,1433.0,124.0,1763.0
Robot,lmc-VDM,20,1570.0,1430.0,140.0,1763.0
Rover-GTOHP,lmc,17,2877.0,27.0,2850.0,745889.0
Rover-GTOHP,lmc-BD,17,2914.0,26.0,2888.0,702373.0
Rover-GTOHP,lmc-GZD,17,2865.0,27.0,2838.0,802476.0
Rover-GTOHP,lmc-BDpGZD,17,2471.0,25.0,2446.0,543781.0
Rover-GTOHP,lmc-VDM,16,2495.0,23.0,2472.0,527773.0

Total,,185,0,0,0,0
Total,lmc,303,57438.0,2005.0,55433.0,5642264.0
Total,lmc-BD,303,57677.0,2000.0,55677.0,6000462.0
Total,lmc-GZD,303,57690.0,2647.0,55043.0,5422658.0
Total,lmc-BDpGZD,303,57403.0,2574.0,54829.0,5879579.0
Total,lmc-VDM,302,59037.0,2711.0,56326.0,5221385.0
